from,from_name,to,to_name,trade_3yr_avg_usd,trade_3yr_sum_usd,n_years,weight_log,layer,source
TWN,Chinese Taipei,CHN,China (People’s Republic of),16952214963.838707,1051037327758,3,23.55366433862712,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,HKG,Hong Kong (China),10222279005.903223,633781298366,3,23.047835391666943,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,USA,United States,7084950093.129035,439266905774,3,22.681238666186903,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SGP,Singapore,4415211147.383334,264912668843,3,22.208321495087134,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,JPN,Japan,4113570537.3870945,255041373318,3,22.137557232447893,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,KOR,Korea,3146929578.112905,195109633843,3,21.869693077629567,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MYS,Malaysia,2107460102.5161293,130662526356,3,21.468749316945143,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,VNM,Viet Nam,1531979915.7213104,93450774859,3,21.14982679898914,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PHL,Philippines,1021236248.4590162,62295411156,3,20.744279739625824,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,DEU,Germany,927143105.9193548,57482872567,3,20.647618488011602,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,NLD,Netherlands,883836335.0666667,53030180104,3,20.599782463265278,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,THA,Thailand,851286154.8387096,52779741600,3,20.562258888345344,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,AUS,Australia,618385404.4000002,37103124264,3,20.242622454376843,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,IND,India,502763991.17241377,29160311488,3,20.03563141750258,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MEX,Mexico,450482333.38596493,25677493003,3,19.925829420894114,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,GBR,United Kingdom,411070175.2580647,25486350866,3,19.834274503038657,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,IDN,Indonesia,331539920.7017544,18897775480,3,19.61925878779566,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,W_X,World unspecified,316831215.2040817,15524729545,3,19.573879749047926,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CAN,Canada,299326318.78333336,17959579127,3,19.517044906755935,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BEL,Belgium,272238549.90163946,16606551544,3,19.422189265271907,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ITA,Italy,250946024.16666666,15056761450,3,19.34074843479519,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,FRA,France,186576327.9833334,11194579679,3,19.044350984007856,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BRA,Brazil,182443071.89090905,10034368954,3,19.021948752961855,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,TUR,Türkiye,166612110.8148148,8997053984,3,18.93117898502338,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ESP,Spain,162911550.4821428,9123046827,3,18.908717982550762,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BGD,Bangladesh,160385300.13461536,8340035607,3,18.89308961038597,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ARE,United Arab Emirates,149308453.2241379,8659890287,3,18.821524886653982,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,POL,Poland,148156181.74545452,8148589996,3,18.813777564123207,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ISR,Israel,134827622.35593218,7954829719,3,18.719507656487107,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,RUS,Russia,124817430.48148149,6740141246,3,18.642362679478293,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SAU,Saudi Arabia,115219080.5,6452268508,3,18.562345930530437,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,HUN,Hungary,113628579.0638298,5340543216,3,18.548445617678034,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,KHM,Cambodia,90868507.11111106,4906899384,3,18.324924053699306,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SWE,Sweden,90734114.67924528,4808908078,3,18.323443981951506,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CHE,Switzerland,85674893.71186441,5054818729,3,18.266070396799353,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,IRL,Ireland,85194510.2857143,4174531004,3,18.260447568195215,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PRT,Portugal,79235330.72727272,4357943190,3,18.187932864975796,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,AUT,Austria,75142975.13207547,3982577682,3,18.134903205152124,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PAK,Pakistan,73514574.29787236,3455184992,3,18.112994247895962,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CZE,Czechia,67612227.49122806,3853896967,3,18.029299419494347,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,NZL,New Zealand,64771198.508474566,3821500712,3,17.98637161049471,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ZAF,South Africa,64622524.661016956,3812728955,3,17.98407360241604,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,TGO,Togo,63697395.52631578,2420501030,3,17.96965424884869,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,EGY,Egypt,54373313.90566037,2881785637,3,17.811384056652187,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,DNK,Denmark,54354201.666666664,2935126890,3,17.811032494515622,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ROU,Romania,43669172.72549018,2227127809,3,17.592153004410065,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LKA,Sri Lanka,43621909.02040817,2137473542,3,17.59107010550052,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,IRQ,Iraq,39527633.4375,1897326405,3,17.492510591273803,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,FIN,Finland,39306727.5,2122563285,3,17.48690627083636,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,COL,Colombia,36369498.80357143,2036691933,3,17.409241063873587,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,JOR,Jordan,33493659.25,1741670281,3,17.326866732617304,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MHL,Marshall Islands,31380910.764705874,1600426449,3,17.26171036044635,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PER,Peru,31160834.604166664,1495720061,3,17.254672595172305,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BGR,Bulgaria,30607003.0625,1469136147,3,17.23673943166245,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ARG,Argentina,29186345.571428567,1430130933,3,17.189211574717156,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,NOR,Norway,27343733.285714287,1339842931,3,17.12399796682812,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,NGA,Nigeria,27089773.98,1354488699,3,17.11466690764066,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,GTM,Guatemala,25529903.43137255,1302025075,3,17.055361045825332,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CHL,Chile,24981426.67272727,1373978467,3,17.03364321365975,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MMR,Myanmar,24506660.791666668,1176319718,3,17.014455548418113,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SVN,Slovenia,22281013.469387755,1091769660,3,16.919245504724106,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LTU,Lithuania,19320012.704545453,850080559,3,16.776652096093397,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ECU,Ecuador,18896451.235294126,963719013,3,16.754484749991388,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,KWT,Kuwait,18887625.857142854,925493667,3,16.754017602000822,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SVK,Slovak Republic,18885110.844444443,849829988,3,16.753884436506944,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,KEN,Kenya,16796600.24528302,890219813,3,16.63668711707831,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,UKR,Ukraine,15560591.632653065,762468990,3,16.560252162920662,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,GRC,Greece,15116449,846521144,3,16.53129411278877,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,DOM,Dominican Republic,14164644.470588233,722396868,3,16.466259662383465,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LVA,Latvia,13468436,686890236,3,16.41585950601915,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MAC,Macau (China),13442114.509090912,739316298,3,16.41390328462279,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CRI,Costa Rica,12978580.38461538,674886180,3,16.378810970864855,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,DZA,Algeria,12259225.149999997,490369006,3,16.321789366578074,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,OMN,Oman,11858923.173913043,545510466,3,16.288591236956766,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,QAT,Qatar,11822158.37254902,602930077,3,16.28548624128971,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MAR,Morocco,11797366.4375,566273589,3,16.28338696602877,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MLT,Malta,11542997.59090909,507891894,3,16.261589628523843,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,EST,Estonia,11539122.651162792,496182274,3,16.26125387605342,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PNG,Papua New Guinea,11399058.477272728,501558573,3,16.249041407967628,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PAN,Panama,10957980.433962265,580772963,3,16.20957864678834,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,AGO,Angola,10845538.32432433,401284918,3,16.19926443123476,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,IRN,Iran,10564545.044444446,475404527,3,16.173014240238295,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SLV,El Salvador,8836541.137254903,450663598,3,15.994406197146413,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,HND,Honduras,8706948.09090909,383105716,3,15.97963201087843,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MUS,Mauritius,8538230.509090908,469602678,3,15.960064461075433,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,KAZ,Kazakhstan,8175115.872340426,384230446,3,15.916605570956156,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,WXD,Rest of the world,7420048.907407408,400682641,3,15.819696341186631,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,URY,Uruguay,7300498.4680851055,343123428,3,15.803453324063689,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,TUN,Tunisia,7176603.106382978,337300346,3,15.786336863456036,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LSO,Lesotho,6715128.878048781,275320284,3,15.719873729234006,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MOZ,Mozambique,6494733.96969697,214326221,3,15.686502401972827,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BHR,Bahrain,5974134.574468086,280784325,3,15.602949971586405,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,FJI,Fiji,5885996.25,282527820,3,15.588086740565116,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,NRU,Nauru,5836229.026315788,221776703,3,15.579595602912452,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,HTI,Haiti,5807855.571428572,243929934,3,15.574722140179874,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,HRV,Croatia,5735650.3125,275311215,3,15.562211870100738,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BRN,Brunei Darussalam,5609009.324999999,224360373,3,15.539884849280364,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,KIR,Kiribati,5479229.758620691,158897663,3,15.516475276556582,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LBN,Lebanon,4566840.577777778,205507826,3,15.334332403099916,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,GHA,Ghana,4466450.60869565,205456728,3,15.312104827786968,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CMR,Cameroon,4423269.282051283,172507502,3,15.302389863292557,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,TLS,Timor-Leste,4403029,123284812,3,15.297803498250904,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,TZA,Tanzania,4315438.911111113,194194751,3,15.277709826575755,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,DJI,Djibouti,4029568.7058823523,137005336,3,15.209170155488344,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CIV,Côte d’Ivoire,3829567.720930232,164671412,3,15.158262749315108,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,TTO,Trinidad and Tobago,3688941.5111111114,166002368,3,15.120850392589427,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LUX,Luxembourg,3611856.9024390243,148086133,3,15.099732852335144,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SYR,Syrian Arab Republic,3580194.0909090913,78764270,3,15.090927851559446,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MDG,Madagascar,3346032.1136363633,147225413,3,15.023286056964205,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PRY,Paraguay,3292683.4042553203,154756120,3,15.00721371839806,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SRB,Serbia,3171363.2727272725,139539984,3,14.969672423216393,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,VEN,Venezuela,3142179.161290323,97407554,3,14.960427435838863,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,NIC,Nicaragua,3138538.088888889,141234214,3,14.959267991302562,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SLB,Solomon Islands,2883224.4242424243,95146406,3,14.87442016442138,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BLR,Belarus,2831042.282051282,110410649,3,14.856155852585886,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CYP,Cyprus,2813858.8,126623646,3,14.850067693098312,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,YEM,Yemen,2738375.4166666665,98581515,3,14.822875754076113,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,UZB,Uzbekistan,2707897.578947368,102900108,3,14.81168345993014,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LBY,Libya,2325520.5384615385,90695301,3,14.659454889466025,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ETH,Ethiopia,2252930.4137931033,65334982,3,14.627742776781947,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,GEO,Georgia,2117296.186046512,91043736,3,14.565650921013962,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,VUT,Vanuatu,1869687.7,56090631,3,14.441282504384768,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SDN,Sudan,1848511.6176470586,62849395,3,14.42989188321979,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,COD,Democratic Republic of the Congo,1845322.696969697,60895649,3,14.42816526558003,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MNE,Montenegro,1834949.25,51378579,3,14.422527927386657,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,JAM,Jamaica,1644461.9142857145,57556167,3,14.312924392995281,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,GIN,Guinea,1574636.7749999997,62985471,3,14.269535819664481,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BLZ,Belize,1558176.6944444445,56094361,3,14.259027551826136,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,NPL,Nepal,1555993.425,62239737,3,14.257625400809172,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SWZ,Eswatini,1543926.8809523813,64844929,3,14.249840299248216,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SUR,Suriname,1427523.9444444445,51390862,3,14.171452694576404,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ABW,Aruba,1327710.9523809527,27881930,3,14.098967682163991,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,FSM,Micronesia,1250062.925,50002517,3,14.038705247970878,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,LAO,Lao People’s Democratic Republic,1215546.8857142855,42544141,3,14.010705467860536,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SEN,Senegal,1182991.0714285718,49685625,3,13.983557440848946,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PLW,Palau,1176162.84,58808142,3,13.977768717464508,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,BOL,Bolivia,1140745.657142857,39926098,3,13.947193568382424,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,GUY,Guyana,1136322,29544372,3,13.943308168834754,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,CUB,Cuba,1135916.6538461538,29533833,3,13.942951387824381,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ALB,Albania,1099804.4193548388,34093937,3,13.910643830625853,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,PYF,French Polynesia,1066384.6410256412,41589001,3,13.879785582851296,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,AZE,Azerbaijan,1058116,32801596,3,13.872001471297542,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,SYC,Seychelles,1052361.3333333335,37885008,3,13.866548036300355,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,MNG,Mongolia,1040476.7906976745,44740502,3,13.855190579751573,taiwan_proxy,OECD_BTIGE
TWN,Chinese Taipei,ISL,Iceland,1025137.4864864865,37930087,3,13.840338270195582,taiwan_proxy,OECD_BTIGE
